SA2_CODE21,LST,NDVI,NDBI,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct,SUHI
209041528,35.00015808747095,0.3854355619672932,-0.027205891372134177,10471,700,2120,32,1045.0,1022.0,5.0223,2084.901340023495,6.685130360042021,1.3970197739968597
209041529,35.41789667388903,0.346272505861965,-0.021118086775548512,9947,2019,1224,38,884.0,896.0,3.3232,2993.199325950891,20.2975771589424,1.8147583604149418
209041530,35.17615804415077,0.31179522548497884,0.005386263864368779,13513,2309,1450,37,919.0,935.0,8.7363,1546.764648649886,17.087249315473986,1.5730197306766769
209041531,35.094533985370965,0.39869403084530114,0.021642248508130187,11427,1145,1897,34,1019.0,1003.0,15.1961,751.9692552694441,10.02012776756804,1.4913956718968748
209041532,35.047499783590794,0.3841313857263127,-0.0008908575246533504,11940,632,2109,32,1034.0,1016.0,8.6268,1384.058978995688,5.293132328308207,1.4443614701167036
210011226,35.117723258727366,0.28887925483527527,-0.01374834386988182,8173,1597,1761,39,1026.0,1018.0,3.7194,2197.3974296929614,19.539948611281048,1.5145849452532758
210011227,36.257078988963315,0.27040133484051365,0.02424304488204447,13,0,0,45,,,3.3549,3.874929208024084,0.0,2.653940675489224
210011228,34.704007695228746,0.3517338692320974,-0.02284729560384302,8548,2104,1820,45,1052.0,1035.0,17.512,488.1224303334856,24.61394478240524,1.1008693817546558
210011230,33.61957580671297,0.37499496030542423,-0.04941306992211149,7460,1164,2239,40,1067.0,1073.0,2.8027,2661.7190566239697,15.603217158176944,0.01643749323888244
210011231,34.25108143075603,0.397475410652654,-0.05608519159377059,10031,1663,2440,41,1089.0,1100.0,4.1444,2420.3744812276805,16.578606320406738,0.6479431172819403
210011533,33.890759933451534,0.38887739853088965,-0.04045061105775796,12388,3311,1587,45,1008.0,1012.0,5.4087,2290.384010945329,26.72747820471424,0.2876216199774433
210011534,34.69623294212713,0.3528039877404863,-0.03586836887239682,15073,3445,1913,43,1036.0,1031.0,5.4828,2749.1427737652293,22.85543687388045,1.0930946286530414
210021232,28.3192341338353,0.5798679154703149,-0.13556622159477108,14222,2322,2311,40,1079.0,1068.0,211.057,67.38464016829577,16.3268176065251,-5.283904179638789
210021235,31.91138070204652,0.4649119944526675,-0.007620909423074171,10765,1800,2004,41,1047.0,1016.0,624.7097,17.23200392118131,16.720854621458432,-1.691757611427569
210031236,34.26040779095172,0.3294954208501554,-0.029786874501313464,8425,1234,1980,38,1017.0,1041.0,4.8779,1727.177678919207,14.646884272997031,0.6572694774776267
210031237,34.738143365156006,0.3555262228505624,-0.032987878098255,14002,2189,1436,35,936.0,952.0,5.0848,2753.6972938955314,15.63348093129553,1.1350050516819152
210031439,34.89957347809501,0.3737881796749842,-0.04676148562296706,3111,503,2162,40,1069.0,1061.0,1.5225,2043.3497536945813,16.168434586949534,1.2964351646209167
210031440,34.169780431267235,0.3781572589522396,-0.061312518845089384,6241,1089,1538,36,970.0,976.0,3.0502,2046.0953380106223,17.449126742509215,0.566642117793144
210031535,34.00567015620563,0.39228683016017346,-0.05887257127488525,14783,2155,1526,34,945.0,961.0,6.2473,2366.3022425687896,14.577555300006765,0.4025318427315412
210031536,33.8534878497167,0.3762763155138718,-0.05251936788291998,8857,1188,1869,33,996.0,1004.0,2.6109,3392.316825615688,13.41311956644462,0.25034953624260936
210031537,33.58889927230447,0.39917982981365785,-0.06607881982251759,7898,981,2204,36,1064.0,1071.0,2.3533,3356.138188926189,12.420866042035955,-0.014239041169624045
